"i","lon","lat","x","y","z","gbli","land"
263,-52.5356513524666,-57.6185258930061,0.385742566271121,-0.503357699799294,-1,1851,TRUE
264,-48.9695152285693,-59.5610908112268,0.385742566271121,-0.443269513890864,-1,1708,TRUE
265,-45,-61.3865454831119,0.385742566271121,-0.385742566271121,-1,1566,TRUE
266,-40.577216010183,-63.0753483905484,0.385742566271121,-0.330355377344334,-1,1568,TRUE
267,-35.6562015879475,-64.6043009208255,0.385742566271121,-0.276737270140414,-1,1426,TRUE
268,-30.2055443890285,-65.9466676876839,0.385742566271121,-0.224557509317129,-1,1428,TRUE
269,-24.2193830694927,-67.0730000643614,0.385742566271121,-0.173516460137856,-1,1286,TRUE
270,-17.7312798087378,-67.9529854799883,0.385742566271121,-0.123338236136739,-1,1289,TRUE
271,-10.8258096577299,-68.5584694313263,0.385742566271121,-0.0737644315224493,-1,1292,TRUE
272,-3.64138761643009,-68.86734073855,0.385742566271121,-0.0245486221089254,-1,1151,TRUE
273,3.64138761643009,-68.86734073855,0.385742566271121,0.0245486221089254,-1,1009,TRUE
274,10.8258096577299,-68.5584694313263,0.385742566271121,0.0737644315224493,-1,1156,TRUE
275,17.7312798087378,-67.9529854799883,0.385742566271121,0.123338236136739,-1,1159,TRUE
276,24.2193830694927,-67.0730000643614,0.385742566271121,0.173516460137856,-1,1162,TRUE
277,30.2055443890285,-65.9466676876839,0.385742566271121,0.224557509317129,-1,1308,TRUE
278,35.6562015879475,-64.6043009208255,0.385742566271121,0.276737270140414,-1,1310,TRUE
279,40.577216010183,-63.0753483905484,0.385742566271121,0.330355377344334,-1,1456,TRUE
280,45,-61.3865454831119,0.385742566271121,0.385742566271121,-1,1458,TRUE
281,48.9695152285693,-59.5610908112268,0.385742566271121,0.443269513890864,-1,1604,TRUE
282,52.5356513524666,-57.6185258930061,0.385742566271121,0.503357699799294,-1,1749,TRUE
283,55.7478433138469,-55.5750099367559,0.385742566271121,0.566493002730344,-1,1894,TRUE
284,58.6521459702055,-53.4437683132472,0.385742566271121,0.633243016177569,-1,2039,TRUE
